,rank,bib,rider,age,team,uci,point,time,stage,year
31,31,191,ALLEGAERT Piet,25,"Cofidis, Solutions Crédits",10,9,5:47:20,None,2020
32,32,107,VAN ASBROECK Tom,30,Israel Start-Up Nation,10,8,5:47:20,None,2020
33,33,167,NIEUWENHUIS Joris,24,Team Sunweb,10,7,5:47:20,None,2020
34,34,56,VERGAERDE Otto,26,Alpecin-Fenix,10,6,5:47:20,None,2020
35,35,35,NAESEN Lawrence,28,AG2R La Mondiale,10,5,5:47:20,None,2020
36,36,24,KLUGE Roger,34,Lotto Soudal,10,5,5:47:20,None,2020
37,37,62,DRUCKER Jempy,34,BORA - hansgrohe,10,5,5:47:20,None,2020
38,38,13,DECLERCQ Tim,31,Deceuninck - Quick Step,10,5,5:47:20,None,2020
39,39,163,ARNDT Nikias,28,Team Sunweb,10,5,5:47:20,None,2020
40,40,95,MOLARD Rudy,31,Groupama - FDJ,10,5,5:47:20,None,2020
41,41,26,FRISON Frederik,28,Lotto Soudal,10,5,5:47:20,None,2020
42,42,74,VAN HOECKE Gijs,28,CCC Team,10,5,5:47:20,None,2020
43,43,61,BURGHARDT Marcus,37,BORA - hansgrohe,10,5,5:47:20,None,2020
44,44,175,HOULE Hugo,30,Astana Pro Team,10,5,5:47:20,None,2020
45,45,246,VAN GESTEL Dries,26,Team Total Direct Energie,10,5,5:47:20,None,2020
46,46,36,VANDENBERGH Stijn,36,AG2R La Mondiale,10,5,5:47:20,None,2020
47,47,112,COLBRELLI Sonny,30,Bahrain - McLaren,10,5,5:47:20,None,2020
48,48,122,DURBRIDGE Luke,29,Mitchelton-Scott,10,5,5:47:22,None,2020
49,49,75,VAN HOOYDONCK Nathan,25,CCC Team,10,5,5:47:22,None,2020
50,50,156,ROWE Luke,30,INEOS Grenadiers,10,5,5:47:22,None,2020
51,51,185,MARCATO Marco,36,UAE-Team Emirates,5,5,5:47:22,None,2020
52,52,141,BOASSON HAGEN Edvald,33,NTT Pro Cycling,5,5,5:47:25,None,2020
53,53,53,RICKAERT Jonas,26,Alpecin-Fenix,5,5,5:47:25,None,2020
54,54,151,KWIATKOWSKI Michał,30,INEOS Grenadiers,5,5,5:47:25,None,2020
55,55,115,HALLER Marco,29,Bahrain - McLaren,5,5,5:47:33,None,2020
56,56,195,LEMOINE Cyril,37,"Cofidis, Solutions Crédits",3,5,5:48:16,None,2020
57,57,14,DEVENYNS Dries,37,Deceuninck - Quick Step,3,5,5:48:16,None,2020
58,58,164,EEKHOFF Nils,22,Team Sunweb,3,5,5:48:16,None,2020
59,59,81,PEDERSEN Mads,24,Trek - Segafredo,3,5,5:48:16,None,2020
60,60,5,LANGEVELD Sebastian,35,EF Pro Cycling,3,5,5:48:16,None,2020
61,61,65,OSS Daniel,33,BORA - hansgrohe,,5,5:48:16,None,2020
62,62,71,TRENTIN Matteo,31,CCC Team,,5,5:48:16,None,2020
63,63,193,TOUZÉ Damien,24,"Cofidis, Solutions Crédits",,5,5:48:16,None,2020
64,64,93,GENIETS Kevin,23,Groupama - FDJ,,5,5:48:16,None,2020
65,65,186,OLIVEIRA Rui,24,UAE-Team Emirates,,5,5:50:43,None,2020
66,66,232,BARTHE Cyril,24,B&B Hotels - Vital Concept p/b KTM,,5,5:50:43,None,2020
67,67,225,VAN DEN BOSSCHE Fabio,20,Sport Vlaanderen - Baloise,,5,5:50:43,None,2020
68,68,136,PRADES Eduard,33,Movistar Team,,5,5:50:43,None,2020
69,69,121,BAUER Jack,35,Mitchelton-Scott,,5,5:51:43,None,2020
70,70,55,VAKOČ Petr,28,Alpecin-Fenix,,5,5:51:43,None,2020
71,71,236,LECROQ Jérémy,25,B&B Hotels - Vital Concept p/b KTM,,5,5:52:53,None,2020
72,72,146,JANSE VAN RENSBURG Reinardt,31,NTT Pro Cycling,,5,5:52:53,None,2020
73,73,17,ŠTYBAR Zdeněk,34,Deceuninck - Quick Step,,5,5:52:53,None,2020
74,74,87,THEUNS Edward,29,Trek - Segafredo,,5,5:53:47,None,2020
75,75,221,BEULLENS Cédric,23,Sport Vlaanderen - Baloise,,5,5:53:47,None,2020
76,76,125,KONYCHEV Alexander,22,Mitchelton-Scott,,5,5:53:47,None,2020
77,77,172,DE VREESE Laurens,32,Astana Pro Team,,5,5:53:47,None,2020
78,78,227,MENTEN Milan,23,Sport Vlaanderen - Baloise,,5,5:53:47,None,2020
79,79,76,VAN KEIRSBULCK Guillaume,29,CCC Team,,5,5:53:47,None,2020
80,80,182,BOHLI Tom,26,UAE-Team Emirates,,5,5:53:47,None,2020
81,81,85,SKUJIŅŠ Toms,29,Trek - Segafredo,,5,5:53:47,None,2020
82,82,194,LAPORTE Christophe,27,"Cofidis, Solutions Crédits",,5,5:53:47,None,2020
83,83,243,MAITRE Florian,24,Team Total Direct Energie,,5,5:53:47,None,2020
84,84,73,SCHÄR Michael,34,CCC Team,,5,5:53:47,None,2020
85,85,224,SPRENGERS Thomas,30,Sport Vlaanderen - Baloise,,5,5:53:47,None,2020
86,86,147,TILLER Rasmus,24,NTT Pro Cycling,,5,5:53:47,None,2020
87,87,176,MARTINELLI Davide,27,Astana Pro Team,,5,5:53:47,None,2020
88,88,204,WIRTGEN Luc,22,Bingoal - Wallonie Bruxelles,,5,5:53:47,None,2020
89,89,173,GIDICH Yevgeniy,24,Astana Pro Team,,5,5:53:47,None,2020
90,90,207,WIRTGEN Tom,24,Bingoal - Wallonie Bruxelles,,5,5:53:47,None,2020
91,91,6,RUTSCH Jonas,22,EF Pro Cycling,,5,5:53:47,None,2020
92,92,206,TAMINIAUX Lionel,24,Bingoal - Wallonie Bruxelles,,5,5:53:47,None,2020
93,93,133,JACOBS Johan,23,Movistar Team,,5,5:53:47,None,2020
94,94,242,SOUPE Geoffrey,32,Team Total Direct Energie,,5,5:53:47,None,2020
95,95,94,LIENHARD Fabian,27,Groupama - FDJ,,5,5:53:47,None,2020
96,96,82,KIRSCH Alex,28,Trek - Segafredo,,5,5:53:47,None,2020
97,97,66,PÖSTLBERGER Lukas,28,BORA - hansgrohe,,5,5:53:47,None,2020
98,98,67,SCHACHMANN Maximilian,26,BORA - hansgrohe,,5,5:53:47,None,2020
99,99,155,LAWLESS Chris,24,INEOS Grenadiers,,5,5:53:47,None,2020
100,100,64,MÜHLBERGER Gregor,26,BORA - hansgrohe,,5,5:53:47,None,2020
101,101,153,DOULL Owain,27,INEOS Grenadiers,,5,5:53:47,None,2020
102,102,91,KÜNG Stefan,26,Groupama - FDJ,,5,5:53:47,None,2020
103,103,154,KNEES Christian,39,INEOS Grenadiers,,5,5:53:47,None,2020
104,104,42,EENKHOORN Pascal,23,Team Jumbo-Visma,,5,5:53:47,None,2020
105,105,123,EDMONDSON Alex,26,Mitchelton-Scott,,5,5:53:47,None,2020
106,106,45,ROOSEN Timo,27,Team Jumbo-Visma,,5,5:53:47,None,2020
107,107,212,VAN POPPEL Boy,32,Circus - Wanty Gobert,,5,5:53:47,None,2020
108,108,216,VAN POPPEL Danny,27,Circus - Wanty Gobert,,5,5:53:47,None,2020
109,109,72,KOCH Jonas,27,CCC Team,,5,5:53:47,None,2020
110,110,205,SUTER Joel,21,Bingoal - Wallonie Bruxelles,,5,5:53:47,None,2020
111,111,241,TERPSTRA Niki,36,Team Total Direct Energie,,5,5:53:47,None,2020
